timestamp_utc,meter_number,meter_count,voltage,current,power,power_factor,frequency,year,month,day,hour,minute,apparent_energy_kVAh,active_energy_kWh,month_str
2019-06-01 00:00:00,541936.22,,203.13,3.44,0.63,0.88,0.0,2019.0,6.0,1.0,0.0,27.22,0.72,0.63,Jun
2019-06-01 01:00:00,541951.57,,205.87,2.11,0.38,0.88,0.0,2019.0,6.0,1.0,1.0,30.57,0.43,0.38,Jun
2019-06-01 02:00:00,541950.06,,207.27,2.06,0.38,0.88,0.0,2019.0,6.0,1.0,2.0,27.71,0.43,0.38,Jun
2019-06-01 03:00:00,541947.0,,209.89,1.95,0.36,0.88,0.0,2019.0,6.0,1.0,3.0,26.0,0.41,0.36,Jun
2019-06-01 04:00:00,541947.0,,209.69,1.95,0.36,0.88,0.0,2019.0,6.0,1.0,4.0,26.2,0.41,0.36,Jun
2019-06-01 05:00:00,541947.0,,209.24,1.95,0.36,0.88,0.0,2019.0,6.0,1.0,5.0,28.88,0.41,0.36,Jun
2019-06-01 06:00:00,541947.0,,209.86,1.95,0.36,0.88,0.0,2019.0,6.0,1.0,6.0,27.0,0.41,0.36,Jun
2019-06-01 07:00:00,541947.0,56.51,209.49,1.95,0.36,0.88,0.0,2019.0,6.0,1.0,7.0,30.0,0.41,0.36,Jun
2019-06-01 08:00:00,541947.0,56.71,209.12,1.95,0.36,0.88,0.0,2019.0,6.0,1.0,8.0,32.38,0.41,0.36,Jun
2019-06-01 09:00:00,541932.87,57.02,222.83,2.96,0.6,0.88,0.0,2019.0,6.0,1.0,9.0,32.13,0.68,0.6,Jun
2019-06-01 10:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 11:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 12:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 13:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 14:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 15:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 16:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 17:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 18:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 19:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 20:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 21:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 22:00:00,,,,,,,,,,,,,,,Jun
2019-06-01 23:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 00:00:00,541936.93,,222.73,3.3,0.67,0.88,0.0,2019.0,6.0,2.0,0.0,29.83,0.76,0.67,Jun
2019-06-02 01:00:00,541923.0,,227.22,2.52,0.51,0.88,0.0,2019.0,6.0,2.0,1.0,26.2,0.58,0.51,Jun
2019-06-02 02:00:00,541913.56,,226.13,1.7,0.34,0.88,0.0,2019.0,6.0,2.0,2.0,30.38,0.39,0.34,Jun
2019-06-02 03:00:00,541914.44,,226.39,1.66,0.33,0.88,0.0,2019.0,6.0,2.0,3.0,26.25,0.38,0.33,Jun
2019-06-02 04:00:00,541914.41,,226.24,1.66,0.33,0.88,0.0,2019.0,6.0,2.0,4.0,30.94,0.38,0.33,Jun
2019-06-02 05:00:00,541917.82,,227.16,1.5,0.3,0.88,0.0,2019.0,6.0,2.0,5.0,26.64,0.34,0.3,Jun
2019-06-02 06:00:00,541921.0,,228.15,1.34,0.27,0.88,0.0,2019.0,6.0,2.0,6.0,26.5,0.31,0.27,Jun
2019-06-02 07:00:00,541921.0,24.29,227.9,1.35,0.27,0.88,0.0,2019.0,6.0,2.0,7.0,30.25,0.31,0.27,Jun
2019-06-02 08:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 09:00:00,541931.0,72.69,189.78,3.61,0.61,0.88,0.0,2019.0,6.0,2.0,9.0,28.41,0.7,0.61,Jun
2019-06-02 10:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 11:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 12:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 13:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 14:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 15:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 16:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 17:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 18:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 19:00:00,,,,,,,,,,,,,,,Jun
2019-06-02 20:00:00,,,,,,,,,,,,,,,Jun
